temperature_2m,relative_humidity_2m,cloud_cover,shortwave_radiation,direct_radiation,diffuse_radiation,wind_speed_10m,precipitation,DATETIME
11.6,80,4,0.0,0.0,0.0,7.7,0.0,2013-06-22 00:00:00
11.2,84,12,0.0,0.0,0.0,7.9,0.0,2013-06-22 01:00:00
10.8,86,29,0.0,0.0,0.0,7.9,0.0,2013-06-22 02:00:00
10.7,86,29,0.0,0.0,0.0,8.3,0.0,2013-06-22 03:00:00
10.5,86,34,0.0,0.0,0.0,8.4,0.0,2013-06-22 04:00:00
10.2,86,21,0.0,0.0,0.0,9.0,0.0,2013-06-22 05:00:00
10.0,90,15,0.0,0.0,0.0,9.7,0.0,2013-06-22 06:00:00
9.7,90,9,0.0,0.0,0.0,9.5,0.0,2013-06-22 07:00:00
9.7,90,12,0.0,0.0,0.0,9.8,0.0,2013-06-22 08:00:00
10.0,89,23,45.0,26.0,19.0,8.5,0.0,2013-06-22 09:00:00
11.1,86,31,176.0,119.0,57.0,8.2,0.0,2013-06-22 10:00:00
12.5,81,54,287.0,219.0,68.0,9.4,0.0,2013-06-22 11:00:00
13.3,77,66,363.0,265.0,98.0,9.7,0.0,2013-06-22 12:00:00
13.8,73,61,400.0,300.0,100.0,11.2,0.0,2013-06-22 13:00:00
13.9,72,74,359.0,247.0,112.0,12.0,0.0,2013-06-22 14:00:00
13.7,74,57,254.0,129.0,125.0,12.6,0.0,2013-06-22 15:00:00
13.7,75,51,176.0,85.0,91.0,13.0,0.0,2013-06-22 16:00:00
13.2,80,51,103.0,48.0,55.0,11.2,0.0,2013-06-22 17:00:00
13.2,71,61,30.0,17.0,13.0,9.5,0.0,2013-06-22 18:00:00
12.9,71,60,0.0,0.0,0.0,9.1,0.0,2013-06-22 19:00:00
12.7,73,76,0.0,0.0,0.0,9.0,0.0,2013-06-22 20:00:00
12.2,81,70,0.0,0.0,0.0,9.5,0.0,2013-06-22 21:00:00
11.8,86,73,0.0,0.0,0.0,8.9,0.0,2013-06-22 22:00:00
11.6,90,70,0.0,0.0,0.0,8.4,0.0,2013-06-22 23:00:00
11.6,89,75,0.0,0.0,0.0,8.8,0.2,2013-06-23 00:00:00
11.5,89,83,0.0,0.0,0.0,9.2,0.4,2013-06-23 01:00:00
11.4,91,82,0.0,0.0,0.0,8.6,0.2,2013-06-23 02:00:00
11.5,90,78,0.0,0.0,0.0,8.3,0.1,2013-06-23 03:00:00
11.2,90,95,0.0,0.0,0.0,7.9,0.1,2013-06-23 04:00:00
11.0,90,95,0.0,0.0,0.0,7.9,0.1,2013-06-23 05:00:00
11.2,95,83,0.0,0.0,0.0,8.7,0.2,2013-06-23 06:00:00
11.3,95,91,0.0,0.0,0.0,9.9,0.0,2013-06-23 07:00:00
11.4,95,87,0.0,0.0,0.0,9.4,0.0,2013-06-23 08:00:00
11.5,95,92,33.0,16.0,17.0,9.0,0.0,2013-06-23 09:00:00
12.2,95,89,94.0,27.0,67.0,8.5,0.0,2013-06-23 10:00:00
13.0,92,96,130.0,30.0,100.0,8.3,0.1,2013-06-23 11:00:00
14.1,88,97,318.0,159.0,159.0,9.9,0.6,2013-06-23 12:00:00
14.3,85,94,357.0,217.0,140.0,10.3,0.9,2013-06-23 13:00:00
14.0,84,71,279.0,128.0,151.0,11.6,1.3,2013-06-23 14:00:00
13.8,83,76,242.0,127.0,115.0,11.4,0.9,2013-06-23 15:00:00
13.4,85,80,156.0,70.0,86.0,12.1,1.0,2013-06-23 16:00:00
12.8,88,98,103.0,40.0,63.0,9.7,0.8,2013-06-23 17:00:00
12.5,91,98,16.0,6.0,10.0,7.3,1.4,2013-06-23 18:00:00
12.8,86,99,0.0,0.0,0.0,8.0,0.8,2013-06-23 19:00:00
12.8,84,98,0.0,0.0,0.0,8.9,0.6,2013-06-23 20:00:00
12.8,83,94,0.0,0.0,0.0,6.9,0.4,2013-06-23 21:00:00
12.6,85,91,0.0,0.0,0.0,8.3,0.4,2013-06-23 22:00:00
12.3,89,98,0.0,0.0,0.0,9.2,0.6,2013-06-23 23:00:00
